,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Value
37644,B6FADI02,"Direct investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,2337.1
37645,B6FADI02,"Direct investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,776.8
37646,B6FADI02,"Direct investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,5016.4
37647,B6FADI03,"Direct investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,15074.8
37648,B6FADI03,"Direct investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,11187.0
37649,B6FADI03,"Direct investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,5499.4
37650,B6FADI03,"Direct investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,6980.4
37651,B6FADI03,"Direct investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,13546.6
37652,B6FADI03,"Direct investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,5864.4
37653,B6FADI03,"Direct investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,6472.6
37654,B6FADI03,"Direct investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,3755.3
37655,B6FADI03,"Direct investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,14077.8
37656,B6FAPI02,"Portfolio investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,1809.4
37657,B6FAPI02,"Portfolio investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,6145.8
37658,B6FAPI02,"Portfolio investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-3705.2
37659,B6FAPI02,"Portfolio investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-3142.7
37660,B6FAPI02,"Portfolio investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,-209.8
37661,B6FAPI02,"Portfolio investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,2681.1
37662,B6FAPI02,"Portfolio investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,-1150.4
37663,B6FAPI02,"Portfolio investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,2240.1
37664,B6FAPI02,"Portfolio investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,-323.6
37665,B6FAPI03,"Portfolio investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,6147.6
37666,B6FAPI03,"Portfolio investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,7200.3
