,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,Reference Period Code,Reference Period,Value
5459,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2020-Q1,Q1-2020,IDX,Index,2015_100,2015=100,111.5794
5460,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2015-Q1,Q1-2015,IDX,Index,2015_100,2015=100,99.0537
5461,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2015-Q2,Q2-2015,IDX,Index,2015_100,2015=100,99.68797
5462,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2015-Q3,Q3-2015,IDX,Index,2015_100,2015=100,100.3118
5463,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2015-Q4,Q4-2015,IDX,Index,2015_100,2015=100,100.9465
5464,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2016-Q1,Q1-2016,IDX,Index,2015_100,2015=100,101.71
5465,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2016-Q2,Q2-2016,IDX,Index,2015_100,2015=100,102.2906
5466,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2016-Q3,Q3-2016,IDX,Index,2015_100,2015=100,103.0978
5467,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2016-Q4,Q4-2016,IDX,Index,2015_100,2015=100,103.9672
5468,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2017-Q1,Q1-2017,IDX,Index,2015_100,2015=100,105.5978
5469,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2017-Q2,Q2-2017,IDX,Index,2015_100,2015=100,106.9846
5470,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2017-Q3,Q3-2017,IDX,Index,2015_100,2015=100,107.8708
5471,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2017-Q4,Q4-2017,IDX,Index,2015_100,2015=100,108.9165
5472,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2018-Q1,Q1-2018,IDX,Index,2015_100,2015=100,110.0447
5473,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2018-Q2,Q2-2018,IDX,Index,2015_100,2015=100,110.8839
5474,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2018-Q3,Q3-2018,IDX,Index,2015_100,2015=100,111.7014
5475,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2018-Q4,Q4-2018,IDX,Index,2015_100,2015=100,112.6528
5476,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2019-Q1,Q1-2019,IDX,Index,2015_100,2015=100,113.7614
5477,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2019-Q2,Q2-2019,IDX,Index,2015_100,2015=100,114.871
5478,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2019-Q3,Q3-2019,IDX,Index,2015_100,2015=100,115.7266
5479,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2019-Q4,Q4-2019,IDX,Index,2015_100,2015=100,116.6423
5480,CPGRLE01,CPI: All items non-food non-energy,IXOB,Index,Q,Quarterly,2020-Q1,Q1-2020,IDX,Index,2015_100,2015=100,117.7355
5481,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2015-Q1,Q1-2015,IDX,Index,2015_100,2015=100,99.14509
5482,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2015-Q2,Q2-2015,IDX,Index,2015_100,2015=100,99.5891
5483,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2015-Q3,Q3-2015,IDX,Index,2015_100,2015=100,100.4394
5484,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2015-Q4,Q4-2015,IDX,Index,2015_100,2015=100,100.8264
5485,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2016-Q1,Q1-2016,IDX,Index,2015_100,2015=100,101.2831
5486,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2016-Q2,Q2-2016,IDX,Index,2015_100,2015=100,101.6463
