,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value
881,B1_GA,Gross domestic product at market prices - output approach,VNBQRSA,"National currency, constant prices, national base year, quarterly levels, seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,MXN,Mexican Peso,6,Millions,2013,2013,4618134.1975
882,B1_GA,Gross domestic product at market prices - output approach,VNBQRSA,"National currency, constant prices, national base year, quarterly levels, seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,MXN,Mexican Peso,6,Millions,2013,2013,4591883.8075
883,B1_GA,Gross domestic product at market prices - output approach,VNBQRSA,"National currency, constant prices, national base year, quarterly levels, seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,MXN,Mexican Peso,6,Millions,2013,2013,4534899.5225
3403,B1_GE,Gross domestic product - expenditure approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,,,22713205.85
3404,B1_GE,Gross domestic product - expenditure approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,,,23645843.6
3405,B1_GE,Gross domestic product - expenditure approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,,,23307952.1
3406,B1_GE,Gross domestic product - expenditure approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2018-Q4,Q4-2018,MXN,Mexican Peso,6,Millions,,,24299026.52
3407,B1_GE,Gross domestic product - expenditure approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2019-Q1,Q1-2019,MXN,Mexican Peso,6,Millions,,,23971495.38
3408,B1_GE,Gross domestic product - expenditure approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2019-Q2,Q2-2019,MXN,Mexican Peso,6,Millions,,,24323880.78
3409,B1_GE,Gross domestic product - expenditure approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2019-Q3,Q3-2019,MXN,Mexican Peso,6,Millions,,,23962589.24
3410,B1_GE,Gross domestic product - expenditure approach,CAR,"National currency, current prices, annual levels",Q,Quarterly,2019-Q4,Q4-2019,MXN,Mexican Peso,6,Millions,,,24698562.62
3411,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,,,23148194.33
3412,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,,,23354338.93
3413,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,,,23696334.39
